"nid","Sequence","Judge.Name","School","Degree","Degree.Year"
13761857,1,"Abelson, Adam Ben","Princeton University","B.A.","2005"
13761857,2,"Abelson, Adam Ben","New York University School of Law","J.D.","2010"
1393931,1,"Abrams, Ronnie","Cornell University","B.A.","1990"
1393931,2,"Abrams, Ronnie","Yale Law School","J.D.","1993"
1376976,1,"Abruzzo, Matthew T.","Brooklyn Law School","LL.B.","1910"
13651551,1,"Abudu, Nancy Gbana","Columbia University","B.A.","1996"
13651551,2,"Abudu, Nancy Gbana","Tulane University Law School","J.D.","1999"
1376981,1,"Acheson, Marcus Wilson","Washington College (now Washington and Jefferson College)","B.A.","1845"
1376981,2,"Acheson, Marcus Wilson","Read law","","1852"
1376986,1,"Acker, William Marsh, Jr.","Birmingham-Southern College","B.A.","1949"
1376986,2,"Acker, William Marsh, Jr.","Yale Law School","LL.B.","1952"
1376991,1,"Ackerman, Harold Arnold","Rutgers School of Law -- Newark","LL.B.","1951"
1376996,1,"Ackerman, James Waldo","Marquette University","B.S.","1947"
1376996,2,"Ackerman, James Waldo","Marquette University Law School","J.D.","1949"
1377001,1,"Acosta, Raymond L.","Rutgers School of Law -- Newark","J.D.","1951"
1377006,1,"Adair, J[ackson] Leroy","University of Michigan Law School","LL.B.","1911"
1377011,1,"Adams, Arlin Marvin","Temple University","B.S.","1941"
1377011,2,"Adams, Arlin Marvin","University of Pennsylvania Law School (now Carey Law School)","LL.B.","1947"
1377011,3,"Adams, Arlin Marvin","Temple University","M.A.","1950"
1377016,1,"Adams, Elmer Bragg","Yale College","B.A.","1865"
1377016,2,"Adams, Elmer Bragg","Harvard Law School","","1868"
1377021,1,"Adams, George","Read law","","1810"
1377026,1,"Adams, George Bethune","Read law","","1878"
1377031,1,"Adams, Henry Lee, Jr.","Florida A&M University","B.S.","1966"
1377031,2,"Adams, Henry Lee, Jr.","Howard University School of Law","J.D.","1969"
1391781,1,"Adams, John R.","Bowling Green State University","B.S.","1978"
1391781,2,"Adams, John R.","University of Akron School of Law","J.D.","1983"
1393311,1,"Adamson, William Charles","Bowdon College, Georgia","A.B.","1874"
1390426,1,"Adelman, Lynn S.","Princeton University","A.B.","1961"
1390426,2,"Adelman, Lynn S.","Columbia Law School","LL.B.","1965"
1377036,1,"Adkins, Jesse Corcoran","Georgetown College Law School (now Georgetown University Law Center)","LL.B.","1899"
1377036,2,"Adkins, Jesse Corcoran","Georgetown College Law School (now Georgetown University Law Center)","LL.M.","1900"
1377041,1,"Adler, Simon Louis","Cornell University","B.L.","1889"
1377041,2,"Adler, Simon Louis","Harvard Law School","","1892"
9374881,1,"Aenlle-Rocha, Fernando Lazaro","Princeton University","A.B.","1983"
9374881,2,"Aenlle-Rocha, Fernando Lazaro","University of California, Berkeley, School of Law","J.D.","1986"
13761681,1,"Aframe, Seth Robert","Tufts University","B.A.","1996"
13761681,2,"Aframe, Seth Robert","Georgetown University Law Center","J.D.","1999"
1391471,1,"Africk, Lance M.","University of North Carolina","B.A.","1973"
1391471,2,"Africk, Lance M.","University of North Carolina School of Law","J.D.","1975"
1392706,1,"Agee, G. Steven","Bridgewater College","B.A.","1974"
1392706,2,"Agee, G. Steven","University of Virginia School of Law","J.D.","1977"
1392706,3,"Agee, G. Steven","New York University School of Law","LL.M.","1978"
1377046,1,"Aguilar, Robert Peter","University of California, Berkeley","B.A.","1954"
1377046,2,"Aguilar, Robert Peter","University of California, Berkeley, School of Law","J.D.","1958"
1390586,1,"Aiken, Ann L.","University of Oregon","B.S.","1974"
1390586,2,"Aiken, Ann L.","Rutgers University","M.A.","1976"
1390586,3,"Aiken, Ann L.","University of Oregon School of Law","J.D.","1979"
1377051,1,"Ainsworth, Robert Andrew, Jr.","Loyola University New Orleans School of Law","LL.B.","1932"
1377056,1,"Akerman, Alexander","Read law","","1892"
1377061,1,"Alaimo, Anthony A.","Ohio Northern University","B.A.","1940"
1377061,2,"Alaimo, Anthony A.","Emory University School of Law","J.D.","1948"
1377066,1,"Alarcón, Arthur Lawrence","University of Southern California","B.A.","1949"
1377066,2,"Alarcón, Arthur Lawrence","University of Southern California Law School (now Gould School of Law)","LL.B.","1951"
5198506,1,"Albright, Alan D","Trinity University, San Antonio, Texas","B.A.","1981"
5198506,2,"Albright, Alan D","University of Texas School of Law","J.D.","1984"
1377071,1,"Albritton, William Harold III","University of Alabama","B.A.","1959"
1377071,2,"Albritton, William Harold III","University of Alabama School of Law","LL.B.","1960"
1377076,1,"Aldisert, Ruggero John","University of Pittsburgh","B.A.","1941"
1377076,2,"Aldisert, Ruggero John","University of Pittsburgh School of Law","J.D.","1947"
1377081,1,"Aldrich, Ann","Columbia University","B.A.","1948"
1377081,2,"Aldrich, Ann","New York University School of Law","LL.B.","1950"
1377081,3,"Aldrich, Ann","University of Geneva, Switzerland, Institut des Hautes Etudes Internationale","","1951"
1377081,4,"Aldrich, Ann","New York University School of Law","LL.M.","1964"
1377081,5,"Aldrich, Ann","New York University School of Law","J.S.D.","1967"
1377086,1,"Aldrich, Bailey","Harvard University","A.B.","1928"
1377086,2,"Aldrich, Bailey","Harvard Law School","LL.B.","1932"
1377091,1,"Aldrich, Edgar","Read law","","1866"
1377091,2,"Aldrich, Edgar","University of Michigan Law School","LL.B.","1868"
1377096,1,"Alesia, James Henry","Loyola University Chicago","B.S.","1956"
1377096,2,"Alesia, James Henry","Chicago-Kent College of Law","J.D.","1960"
13761646,1,"Alexakis, Georgia Nick","Harvard University","A.B.","2000"
13761646,2,"Alexakis, Georgia Nick","Northwestern University School of Law (now Pritzker School of Law)","J.D.","2006"
13761895,1,"Ali, Amir Hatem Mahdy","University of Waterloo","B.S.E.","2008"
13761895,2,"Ali, Amir Hatem Mahdy","Harvard Law School","J.D.","2011"
13761396,1,"AliKhan, Loren Linn","Bard College at Simon’s Rock","A.A.","2001"
13761396,2,"AliKhan, Loren Linn","Bard College at Simon’s Rock","B.A.","2003"
13761396,3,"AliKhan, Loren Linn","Georgetown University Law Center","J.D.","2006"
1377101,1,"Alito, Samuel A., Jr.","Princeton University","A.B.","1972"
1377101,2,"Alito, Samuel A., Jr.","Yale Law School","J.D.","1975"
13761626,1,"Allen, Ann Marie McIff","Brigham Young University","B.A.","1994"
13761626,2,"Allen, Ann Marie McIff","Brigham Young University, J. Reuben Clark Law School","J.D.","1997"
1393701,1,"Allen, Arenda Lauretta Wright","Kutztown State College (now Kutztown University of Pennsylvania)","B.A.","1982"
1393701,2,"Allen, Arenda Lauretta Wright","North Carolina Central University School of Law","J.D.","1985"
1377106,1,"Allen, Charles Mengel","Yale University","B.A.","1941"
1377106,2,"Allen, Charles Mengel","University of Louisville School of Law (now Louis D. Brandeis School of Law)","LL.B.","1943"
1377111,1,"Allen, Florence Ellinwood","Western Reserve University (now Case Western Reserve University)","B.A.","1904"
1377111,2,"Allen, Florence Ellinwood","Western Reserve University (now Case Western Reserve University)","M.A.","1908"
1377111,3,"Allen, Florence Ellinwood","New York University School of Law","LL.B.","1913"
1377116,1,"Allen, William Joshua","University of Louisville Law Department (now Louis D. Brandeis School of Law)","LL.B.","1848"
1377121,1,"Alley, Wayne Edward","Stanford University","A.B.","1952"
1377121,2,"Alley, Wayne Edward","Stanford Law School","J.D.","1957"
1377126,1,"Allgood, Clarence W.","Alabama Polytechnic Institute (now Auburn University)","B.S.","1926"
1377126,2,"Allgood, Clarence W.","Birmingham School of Law","LL.B.","1941"
1377131,1,"Allred, James V.","Cumberland School of Law","LL.B.","1921"
13761346,1,"Almadani, Monica Ramirez","Harvard University","A.B.","2001"
13761346,2,"Almadani, Monica Ramirez","Stanford Law School","J.D.","2004"
1390376,1,"Almond, James Lindsay, Jr.","University of Virginia School of Law","LL.B.","1923"
1394711,1,"Alonso, Jorge Luis","University of Miami","B.A.","1988"
1394711,2,"Alonso, Jorge Luis","George Washington University Law School","J.D.","1991"
1377136,1,"Alschuler, Samuel","Read law","","1881"
1377141,1,"Alsop, Donald Douglas","University of Minnesota","B.S.L.","1950"
1377141,2,"Alsop, Donald Douglas","University of Minnesota Law School","LL.B.","1952"
6586021,1,"Alston, Rossie David, Jr.","Averett College (now Averett University)","B.A.","1979"
6586021,2,"Alston, Rossie David, Jr.","North Carolina Central University School of Law","J.D.","1982"
1390971,1,"Alsup, William Haskell","Mississippi State University","B.S.","1967"
1390971,2,"Alsup, William Haskell","Harvard Law School","J.D.","1971"
1390971,3,"Alsup, William Haskell","Harvard University, Kennedy School of Government","M.P.P.","1971"
1377146,1,"Altimari, Frank X.","St. Francis College","","1948"
1377146,2,"Altimari, Frank X.","Brooklyn Law School","LL.B.","1951"
6244926,1,"Altman, Roy Kalman","Columbia University","B.A.","2004"
6244926,2,"Altman, Roy Kalman","Yale Law School","J.D.","2007"
1391821,1,"Altonaga, Cecilia M.","Florida International University","B.A.","1983"
1391821,2,"Altonaga, Cecilia M.","Yale Law School","J.D.","1986"
1392236,1,"Alvarez, Micaela","University of Texas","B.S.","1980"
1392236,2,"Alvarez, Micaela","University of Texas School of Law","J.D.","1989"
1377151,1,"Alvey, Richard Henry","Read law","","1849"
1391086,1,"Ambro, Thomas L.","Georgetown University","B.A.","1971"
1391086,2,"Ambro, Thomas L.","Georgetown University Law Center","J.D.","1975"
1377156,1,"Ambrose, Donetta W.","Duquesne University","B.A.","1967"
1377156,2,"Ambrose, Donetta W.","Duquesne University School of Law","J.D.","1970"
1377161,1,"Amidon, Charles Fremont","Hamilton College","A.B.","1882"
1377161,2,"Amidon, Charles Fremont","Read law","","1886"
1377166,1,"Amon, Carol Bagley","College of William and Mary","B.S.","1968"
1377166,2,"Amon, Carol Bagley","University of Virginia School of Law","J.D.","1971"
1377171,1,"Andersen, Wayne R.","Harvard University","B.A.","1967"
1377171,2,"Andersen, Wayne R.","University of Illinois College of Law","J.D.","1970"
1377176,1,"Anderson, Albert Barnes","Wabash College","A.B.","1879"
1377176,2,"Anderson, Albert Barnes","Read law","","1881"
1377181,1,"Anderson, Aldon Junior","University of Utah","B.A.","1939"
1377181,2,"Anderson, Aldon Junior","University of Utah College of Law (now S.J. Quinney College of Law)","J.D.","1943"
1377186,1,"Anderson, George Ross, Jr.","Southeastern University","B.C.S.","1949"
1377186,2,"Anderson, George Ross, Jr.","George Washington University","","1949-1951"
1377186,3,"Anderson, George Ross, Jr.","University of South Carolina School of Law","LL.B.","1954"
1377191,1,"Anderson, George Weston","Williams College","A.B.","1886"
1377191,2,"Anderson, George Weston","Boston University School of Law","LL.B.","1890"
1377196,1,"Anderson, Harry Bennett","University of Chicago","Ph.B.",""
1377196,2,"Anderson, Harry Bennett","Christian Brothers College","A.M."," "
1377196,3,"Anderson, Harry Bennett","Columbia Law School","LL.B.","1904"
1377201,1,"Anderson, J. Blaine","University of Idaho College of Law","J.D.","1949"
1377206,1,"Anderson, Joseph Fletcher, Jr.","Clemson University","B.A.","1972"
1377206,2,"Anderson, Joseph Fletcher, Jr.","University of South Carolina School of Law","J.D.","1975"
1391476,1,"Anderson, Percy","University of California, Los Angeles","A.B.","1970"
1391476,2,"Anderson, Percy","University of California, Los Angeles, School of Law","J.D.","1975"
1377211,1,"Anderson, R[obert] Lanier III","Yale College","A.B.","1958"
1377211,2,"Anderson, R[obert] Lanier III","Harvard Law School","LL.B.","1961"
1377216,1,"Anderson, Robert Palmer","Yale College","B.A.","1927"
1377216,2,"Anderson, Robert Palmer","Yale Law School","LL.B.","1929"
1392701,1,"Anderson, Stanley Thomas","University of Tennessee","B.S.","1976"
1392701,2,"Anderson, Stanley Thomas","Memphis State University (now University of Memphis) Cecil C. Humphreys School of Law","J.D.","1980"
1377221,1,"Anderson, Stephen Hale","University of Utah College of Law (now S.J. Quinney College of Law)","LL.B.","1960"
1377226,1,"Anderson, Thomas H.","Mount Union College",""," "
1390306,1,"Andrews, Maurice Neil","University of Georgia School of Law","LL.B.","1916"
1393846,1,"Andrews, Richard Gibson","Haverford College","B.A.","1977"
1393846,2,"Andrews, Richard Gibson","University of California, Berkeley, School of Law","J.D.","1981"
1392776,1,"Anello, Michael M.","Bowdoin College","B.A.","1965"
1392776,2,"Anello, Michael M.","Georgetown University Law Center","J.D.","1968"
