"nid","Sequence","Judge.Name","Type","Other.Federal.Judicial.Service","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25"
13761857,1,"Abelson, Adam Ben","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of Maryland, 2023-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393311,1,"Adamson, William Charles","Board of General Appraisers","Member, Board of General Appraisers. Nominated by Woodrow Wilson on September 20, 1917, to a seat vacated by Henderson M. Somerville. Confirmed by the Senate on September 20, 1917, and received commission on September 24, 1917. Service terminated on May 28, 1926, due to reassignment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1391471,1,"Africk, Lance M.","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of Louisiana, 1990-2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377056,1,"Akerman, Alexander","Referee in Bankruptcy","Referee in Bankruptcy, Southern District of Georgia, 1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5198506,1,"Albright, Alan D","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Western District of Texas, 1992-1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761396,1,"AliKhan, Loren Linn","District of Columbia Courts","Judge, District of Columbia Court of Appeals, 2022-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377121,1,"Alley, Wayne Edward","Military Courts","Military Judge, U.S. Army, Saigon, Republic of Vietnam, 1968-1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377121,2,"Alley, Wayne Edward","Military Courts","Military Judge, U.S. Army, Schofield Barracks, Hawaii, 1970-1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377121,3,"Alley, Wayne Edward","Military Courts","Appellate Military Judge, U.S. Army Court of Military Review (now U.S. Army Court of Criminal Appeals), 1972-1973, 1974-1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377121,4,"Alley, Wayne Edward","Military Courts","Chief Military Trial Judge, U.S. Army, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377126,1,"Allgood, Clarence W.","Referee in Bankruptcy","Referee in Bankruptcy, Northern District of Alabama, 1937-1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377166,1,"Amon, Carol Bagley","U.S. Magistrate","U.S. Magistrate, U.S. District Court for the Eastern District of New York, 1986-1990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377216,1,"Anderson, Robert Palmer","U.S. Commissioner","U.S. Commissioner, U.S. District Court for the District of Connecticut, 1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377216,2,"Anderson, Robert Palmer","Temporary Emergency Court of Appeals","Judge, Temporary Emergency Court of Appeals, 1972-1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1392701,1,"Anderson, Stanley Thomas","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Western District of Tennessee, 2003-2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377251,1,"Archbald, Robert Wodrow","Commerce Court","Judge, Commerce Court. Nominated by William H. Taft on December 12, 1910, to a new seat authorized by 36 Stat. 539. Confirmed by the Senate on January 31, 1911, and received commission on January 31, 1911. Service terminated on January 13, 1913, due to impeachment and conviction.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394671,1,"Arleo, Madeline Cox","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of New Jersey, 2000-2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377266,1,"Arnold, Morris Sheppard","Foreign Intelligence Surveillance Court of Review","Judge, Foreign Intelligence Surveillance Court of Review, 2008-2013; presiding judge, 2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377286,1,"Aronovitz, Sidney Myer","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1989-1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13761451,1,"Austin, Jacquelyn Denise","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of South Carolina, 2011-2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394716,1,"Azrack, Joan Marie","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Eastern District of New York, 1990-2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394126,1,"Bacharach, Robert Edwin","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Western District of Oklahoma, 1999-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6202901,1,"Bade, Bridget Shelton","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the District of Arizona, 2012-2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377361,1,"Baker, Harold Albert","Foreign Intelligence Surveillance Court","Judge, Foreign Intelligence Surveillance Court, 1998-2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377361,2,"Baker, Harold Albert","Alien Terrorist Removal Court","Judge, Alien Terrorist Removal Court, 2008-2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5152936,1,"Baker, R. Stan","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Southern District of Georgia, 2015-2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377376,1,"Baldock, Bobby Ray","Foreign Intelligence Surveillance Court of Review","Judge, Foreign Intelligence Surveillance Court of Review, 1992-1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13363931,1,"Ballou, Robert Stewart","U.S. Magistrate Judge","U.S. Magistrate Judge, U.S. District Court for the Western District of Virginia, 2011-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377461,1,"Barlow, George Herbert","U.S. Commissioner","U.S. Commissioner, U.S. District Court for the District of New Jersey, 1956-1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377496,1,"Barrett, James Emmett","Foreign Intelligence Surveillance Court of Review","Judge, Foreign Intelligence Surveillance Court of Review, 1979-1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1377546,1,"Batchelder, Alice Moore","U.S. Bankruptcy Judge","U.S. Bankruptcy Judge, Northern District of Ohio, 1983-1985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
