"nid","Sequence","Judge.Name","Other.Nominations.Recess.Appointments"
13651551,1,"Abudu, Nancy Gbana","Nominated to U.S. Court of Appeals for the Eleventh Circuit, January 10, 2022; no Senate vote"
1391781,1,"Adams, John R.","Nominated to U.S. District Court for the Northern District of Ohio, October 10, 2002; no Senate vote"
9374881,1,"Aenlle-Rocha, Fernando Lazaro","Nominated to U.S. District Court for the Central District of California, October 17, 2019; no Senate vote"
13761681,1,"Aframe, Seth Robert","Nominated to U.S. Court of Appeals for the First Circuit, October 4, 2023; no Senate vote"
1390586,1,"Aiken, Ann L.","Nominated to U.S. District Court for the District of Oregon, November 27, 1995; no Senate vote"
1393701,1,"Allen, Arenda Lauretta Wright","Nominated to U.S. District Court for the Eastern District of Virginia, December 1, 2010; no Senate vote"
1377126,1,"Allgood, Clarence W.","Nominated to U.S. District Court for the Northern District of Alabama, September 23, 1961; no Senate vote"
1377131,1,"Allred, James V.","Received recess appointment to U.S. District Court for the Southern District of Texas, July 11, 1938; declined appointment"
1377131,2,"Allred, James V.","Nominated to U.S. Court of Appeals for the Fifth Circuit, February 18, 1943; no Senate vote"
1390376,1,"Almond, James Lindsay, Jr.","Nominated to U.S. Court of Customs and Patent Appeals, April 16, 1962; no Senate vote"
6586021,1,"Alston, Rossie David, Jr.","Nominated to U.S. District Court for the Eastern District of Virginia, June 18, 2018; no Senate vote"
6244926,1,"Altman, Roy Kalman","Nominated to U.S. District Court for the Southern District of Florida, May 7, 2018; no Senate vote"
1391476,1,"Anderson, Percy","Nominated to U.S. District Court for the Central District of California, March 20, 1992; no Senate vote"
1390306,1,"Andrews, Maurice Neil","Nominated to U.S. District Court for the Northern District of Georgia, October 15, 1949; no Senate vote"
1390306,2,"Andrews, Maurice Neil","Nominated to U.S. District Court for the Northern District of Georgia, January 5, 1950; rejected by Senate, August 9, 1950; resigned, October 31, 1950"
1392821,1,"Aquilino, Thomas Joseph, Jr.","Nominated to U.S. Court of International Trade, August 1, 1984; no Senate vote"
1392786,1,"Arguello, Christine M.","Nominated to U.S. Court of Appeals for the Tenth Circuit, July 27, 2000; no Senate vote"
6385001,1,"Arias-Marxuach, Raúl Manuel","Nominated to U.S. District Court for the District of Puerto Rico, April 12, 2018; no Senate vote"
6385001,2,"Arias-Marxuach, Raúl Manuel","Nominated to U.S. Court of Appeals for the First Circuit, November 30, 2020; no Senate vote"
6385001,3,"Arias-Marxuach, Raúl Manuel","Nominated to U.S. Court of Appeals for the First Circuit, January 3, 2021; nomination withdrawn by president, February 4, 2021"
1391326,1,"Armijo, M. Christina","Nominated to U.S. District Court for the District of New Mexico, August 2, 2001; no Senate vote"
1377271,1,"Arnold, Richard Sheppard","Nominated to U.S. Court of Appeals for the Eighth Circuit, December 14, 1979; nomination withdrawn by president, December 19, 1979"
5153446,1,"Ashe, Barry Weldon","Nominated to U.S. District Court for the Eastern District of Louisiana, October 2, 2017; no Senate vote"
4738061,1,"Axon, Annemarie Carney","Nominated to U.S. District Court for the Northern District of Alabama, July 19, 2017; no Senate vote"
1394126,1,"Bacharach, Robert Edwin","Nominated to U.S. Court of Appeals for the Tenth Circuit, January 23, 2012; no Senate vote"
6202901,1,"Bade, Bridget Shelton","Nominated to U.S. Court of Appeals for the Ninth Circuit, August 27, 2018; no Senate vote"
13761496,1,"Baggio, Amy Margaret","Nominated to U.S. District Court for the District of Oregon, November 27, 2023; no Senate vote"
1392541,1,"Bailey, John Preston","Nominated to U.S. District Court for the Northern District of West Virginia, June 28, 2006; no Senate vote"
6841726,1,"Baker, M. Miller","Nominated to U.S. Court of International Trade, June 18, 2018; no Senate vote"
13363931,1,"Ballou, Robert Stewart","Nominated to U.S. District Court for the Western District of Virginia, July 13, 2022; no Senate vote"
1393481,1,"Barber, Orion Metcalf","Nominated to U.S. Court of Customs Appeals (later U.S. Court of Customs and Patent Appeals), January 5, 1910; nomination withdrawn by president, February 22, 1910"
6595046,1,"Barber, Thomas Patrick","Nominated to U.S. District Court for the Middle District of Florida, May 7, 2018; no Senate vote"
6379986,1,"Barker, J. Campbell","Nominated to U.S. District Court for the Eastern District of Texas, January 23, 2018; no Senate vote"
6594531,1,"Barker, Pamela Ann","Nominated to U.S. District Court for the Northern District of Ohio, April 12, 2018; no Senate vote"
1394221,1,"Barnett, Mark Allen","Nominated to U.S. Court of International Trade, July 12, 2012; no Senate vote"
1394531,1,"Barron, David Jeremiah","Nominated to U.S. Court of Appeals for the First Circuit, September 24, 2013; no Senate vote"
1394451,1,"Bashant, Cynthia Ann","Nominated to U.S. District Court for the Southern District of California, September 19, 2013; no Senate vote"
1394456,1,"Bastian, Stanley Allen","Nominated to U.S. District Court for the Eastern District of Washington, September 19, 2013; no Senate vote"
1377541,1,"Bastian, Walter Maximillian","Nominated to U.S. Court of Appeals for the District of Columbia Circuit, August 19, 1954; no Senate vote"
1390431,1,"Bataillon, Joseph F.","Nominated to U.S. District Court for the District of Nebraska, March 6, 1996; no Senate vote"
1377546,1,"Batchelder, Alice Moore","Nominated to U.S. District Court for the Northern District of Ohio, October 5, 1984; no Senate vote"
1391381,1,"Bates, John D.","Nominated to U.S. District Court for the District of Columbia, June 20, 2001; no Senate vote"
1393636,1,"Battaglia, Anthony Joseph","Nominated to U.S. District Court for the Southern District of California, May 20, 2010; no Senate vote"
1377586,1,"Baxter, John","Nominated to U.S. Circuit Courts for the Sixth Circuit, October 25, 1877; no Senate vote"
5153456,1,"Baxter, Susan Paradise","Nominated to U.S. District Court for the Western District of Pennsylvania, July 30, 2015; no Senate vote"
1377591,1,"Bazelon, David L.","Nominated to U.S. Court of Appeals for the District of Columbia Circuit, October 15, 1949; no Senate vote"
1392016,1,"Bea, Carlos T.","Nominated to U.S. District Court for the Northern District of California, November 20, 1991; no Senate vote"
1377616,1,"Beatty, James Helmick","Nominated to U.S. District Court for the District of Idaho, February 10, 1891; no Senate vote"
1377626,1,"Beaty, James A., Jr.","Nominated to U.S. Court of Appeals for the Fourth Circuit, December 22, 1995; no Senate vote"
1377626,2,"Beaty, James A., Jr.","Nominated to U.S. Court of Appeals for the Fourth Circuit, January 7, 1997; no Senate vote"
5018781,1,"Beaverstock, Jeffrey Uhlman","Nominated to U.S. District Court for the Southern District of Alabama, September 7, 2017; no Senate vote"
13761516,1,"Becerra, Jacqueline","Nominated to U.S. District Court for the Southern District of Florida, November 6, 2023; no Senate vote"
1377666,1,"Bee, Thomas","Nominated to be chief judge of the U.S. Circuit Court for the Fifth Circuit, February 21, 1801; confirmed, February 24, 1801; declined appointment"
1377691,1,"Bell, Griffin Boyette","Nominated to U.S. Court of Appeals for the Fifth Circuit, September 20, 1961; no Senate vote"
6489616,1,"Bell, Kenneth Davis, Sr.","Nominated to U.S. District Court for the Western District of North Carolina, April 12, 2018; no Senate vote"
13233251,1,"Benjamin, DeAndrea Gist","Nominated to U.S. Court of Appeals for the Fourth Circuit, September 6, 2022; no Senate vote"
1394771,1,"Bennett, Alfred Homer","Nominated to U.S. District Court for the Southern District of Texas, September 18, 2014; no Senate vote"
6801611,1,"Berger, Wendy Williams","Nominated to U.S. District Court for the Middle District of Florida, April 10, 2018; no Senate vote"
13761561,1,"Berner, Nicole Gina","Nominated to U.S. Court of Appeals for the Fourth Circuit, November 27, 2023; no Senate vote"
1391116,1,"Berzon, Marsha Siegel","Nominated to U.S. Court of Appeals for the Ninth Circuit, January 27, 1998; no Senate vote"
1392311,1,"Bianco, Joseph Frank","Nominated to U.S. Court of Appeals for the Second Circuit, November 13, 2018; no Senate vote"
1377821,1,"Bilby, Richard Mansfield","Nominated to U.S. Court of Appeals for the Ninth Circuit, August 3, 1976; no Senate vote"
1377826,1,"Billings, Edward Coke","Nominated to U.S. Circuit Courts for the Fifth Circuit, January 24, 1881; no Senate vote"
1393816,1,"Bissoon, Cathy","Nominated to U.S. District Court for the Western District of Pennsylvania, November 17, 2010; no Senate vote"
13760736,1,"Bloomekatz, Rachel Sarah","Nominated to U.S. Court of Appeals for the Sixth Circuit, May 25, 2022; no Senate vote"
8895341,1,"Blumenfeld, Stanley, Jr.","Nominated to U.S. District Court for the Central District of California, November 13, 2018; no Senate vote"
8895341,2,"Blumenfeld, Stanley, Jr.","Nominated to U.S. District Court for the Central District of California, February 6, 2019; no Senate vote"
1393651,1,"Boasberg, James Emanuel","Nominated to U.S. District Court for the District of Columbia, June 17, 2010; no Senate vote"
1377976,1,"Boggs, Danny Julian","Nominated to U.S. Court of Appeals for the Sixth Circuit, December 9, 1985; no Senate vote"
1378011,1,"Bonner, Robert C.","Nominated to U.S. District Court for the Central District of California, June 15, 1988; no Senate vote"
1378016,1,"Bonsal, Dudley Baldwin","Nominated to U.S. District Court for the Southern District of New York, September 23, 1961; no Senate vote"
1393206,1,"Booth, Fenton Whitlock","Nominated to be chief justice of the Court of Claims, January 2, 1913; no Senate vote"
1378041,1,"Boreman, Herbert Stephenson","Received recess appointment to U.S. Court of Appeals for the Fourth Circuit, October 17, 1958; declined appointment"
1378046,1,"Bork, Robert Heron","Nominated to Supreme Court of the United States, July 7, 1987; rejected by Senate, October 23, 1987"
6595551,1,"Boulee, Jean-Paul","Nominated to U.S. District Court for the Northern District of Georgia, August 28, 2018; no Senate vote"
1391331,1,"Bowdre, Karon O.","Nominated to U.S. District Court for the Northern District of Alabama, August 2, 2001; no Senate vote"
1378126,1,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, October 22, 1991; no Senate vote"
1378126,2,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, May 9, 2001; no Senate vote"
1378126,3,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, September 4, 2001; no Senate vote"
1378126,4,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, January 7, 2003; no Senate vote"
1378126,5,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, February 14, 2005; no Senate vote"
1378126,6,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, September 5, 2006; no Senate vote"
1378126,7,"Boyle, Terrence William","Nominated to U.S. Court of Appeals for the Fourth Circuit, November 15, 2006; no Senate vote"
6278456,1,"Brady, Holly Ann","Nominated to U.S. District Court for the Northern District of Indiana, April 10, 2018; no Senate vote"
4237586,1,"Branch, Elizabeth Lee","Nominated to U.S. Court of Appeals for the Eleventh Circuit, September 7, 2017; no Senate vote"
6383991,1,"Brasher, Andrew Lynn","Nominated to U.S. District Court for the Middle District of Alabama, April 10, 2018; no Senate vote"
6383991,2,"Brasher, Andrew Lynn","Nominated to U.S. Court of Appeals for the Eleventh Circuit, November 21, 2019; no Senate vote"
1391771,1,"Breen, J. Daniel","Nominated to U.S. District Court for the Western District of Tennessee, October 10, 2002; no Senate vote"
11442236,1,"Brennan, Bridget Meehan","Nominated to U.S. District Court for the Northern District of Ohio, September 30, 2021; no Senate vote"
4602991,1,"Brennan, Michael Brian","Nominated to U.S. Court of Appeals for the Seventh Circuit, August 3, 2017; no Senate vote"
1378231,1,"Brewster, Leo","Nominated to U.S. District Court for the Northern District of Texas, September 25, 1961; no Senate vote"
1393671,1,"Briccetti, Vincent Louis","Nominated to U.S. District Court for the Southern District of New York, November 17, 2010; no Senate vote"
13761456,1,"Brisco, Cristal C.","Nominated to U.S. District Court for the Northern District of Indiana, November 27, 2023; no Senate vote"
1394376,1,"Brooks, Timothy Lloyd","Nominated to U.S. District Court for the Western District of Arkansas, June 7, 2013; no Senate vote"
1378371,1,"Brown, Arthur Lewis","Nominated to U.S. Court of Appeals for the First Circuit, February 10, 1913; no Senate vote"
7545476,1,"Brown, Gary Richard","Nominated to U.S. District Court for the Eastern District of New York, July 30, 2015; no Senate vote"
7545476,2,"Brown, Gary Richard","Nominated to U.S. District Court for the Eastern District of New York, May 15, 2018; no Senate vote"
1392276,1,"Brown, Janice Rogers","Nominated to U.S. Court of Appeals for the District of Columbia Circuit, July 25, 2003; no Senate vote"
